ID,model,repeat,premise,hypothesis,error,baseline_KB,additive_verbs_KB,all_verbs_KB,context_pos_KB,additive_pos_KB,fixed_reference_column,fixed_reference_KB
114368470.jpg#1r1e,anthropic/claude-haiku-4.5,1,Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,,"isa_wn(standing in line, waiting)","isa_wn(standing in line, waiting); isa_wn(stand in line, wait)","isa_wn(stand in line, wait)","isa_wn(stand in line, wait)","isa_wn(standing in line, waiting); isa_wn(stand in line, wait)",Stefan_KB,NO_RELATION
1184967930.jpg#4r4e,anthropic/claude-haiku-4.5,1,A dog in a field.,A dog is in grass.,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Lasha_KB,NO_RELATION
1192,anthropic/claude-haiku-4.5,1,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,,"isa_wn(woods, wooded area)","isa_wn(woods, wooded area)","isa_wn(woods, wooded area)","isa_wn(wood, wooded area)","isa_wn(woods, wooded area); isa_wn(wood, wooded area)",Stefan_KB,"(woods, wooded area)"
119364730.jpg#3r1e,anthropic/claude-haiku-4.5,1,"A man wearing a plastic bib with a crab on it, holds up a wooden hammer.",A man holding a hammer.,,"isa_wn(wooden hammer, hammer)","isa_wn(wooden hammer, hammer)","isa_wn(wooden hammer, hammer)","isa_wn(wooden hammer, hammer)","isa_wn(wooden hammer, hammer)",Jorryt_KB,NO_RELATION
1262,anthropic/claude-haiku-4.5,1,A band is performing onstage,A band is playing onstage,,"isa_wn(perform, play)","isa_wn(perform, play)","isa_wn(perform, play)","isa_wn(perform, play)","isa_wn(perform, play)",Lasha_KB,"(perform, play)"
1403064674.jpg#3r1e,anthropic/claude-haiku-4.5,1,A guy looking out over the scenic forest.,A person is viewing the forest.,,"isa_wn(guy, person); isa_wn(look out over, view)","isa_wn(guy, person); isa_wn(look out over, view)","isa_wn(guy, person); isa_wn(look out over, view)","isa_wn(guy, person); isa_wn(look out over, view)","isa_wn(guy, person); isa_wn(look out over, view)",Stefan_KB,"(guy, person); (look out, view)"
1405221276.jpg#4r1e,anthropic/claude-haiku-4.5,1,Two dogs shaking themselves dry on the sand.,Two dogs shake off water to get dry.,,"isa_wn(shake, shake off); isa_wn(dry, get dry)","isa_wn(shake, shake off); isa_wn(dry, get dry)","isa_wn(shake, shake off); isa_wn(dry, get dry)","isa_wn(shake, shake off); isa_wn(dry, get dry)","isa_wn(shake, shake off); isa_wn(dry, get dry)",Lasha_KB,NO_RELATION
1412,anthropic/claude-haiku-4.5,1,Men are sawing logs,Men are cutting wood,,"isa_wn(saw, cut); isa_wn(log, wood)","isa_wn(saw, cut); isa_wn(log, wood)","isa_wn(saw, cut); isa_wn(log, wood)","isa_wn(saw, cut); isa_wn(log, wood)","isa_wn(saw, cut); isa_wn(log, wood)",Stefan_KB,"(saw, cut); (log, wood)"
1425529973.jpg#2r1e,anthropic/claude-haiku-4.5,1,A man perched on a row of aquariums is using a net to scoop a fish from another aquarium.,A man is moving aquatic life.,,"isa_wn(fish, aquatic life); isa_wn(scoop, move)","isa_wn(fish, aquatic life); isa_wn(scoop, move)","isa_wn(fish, aquatic life); isa_wn(scoop, move)","isa_wn(fish, aquatic life); isa_wn(scoop, move)","isa_wn(fish, aquatic life); isa_wn(scoop, move)",Lasha_KB,"(fish, aquatic life); (scoop, move)"
147236031.jpg#1r1e,anthropic/claude-haiku-4.5,1,An Asian woman is looking at the camera while trimming asparagus.,Woman cuts vegetables.,,"isa_wn(trim, cut); isa_wn(asparagus, vegetable)","isa_wn(trim, cut); isa_wn(asparagus, vegetable)","isa_wn(trim, cut); isa_wn(asparagus, vegetable)","isa_wn(trim, cut); isa_wn(asparagus, vegetable)","isa_wn(trim, cut); isa_wn(asparagus, vegetable)",Stefan_KB,"(asparagus, vegetable); (trim, cut)"
1495,anthropic/claude-haiku-4.5,1,A man is playing a guitar,A man is strumming a guitar,,"isa_wn(play, strum)","isa_wn(play, strum)","isa_wn(play, strum)","isa_wn(play, strum)","isa_wn(play, strum)",Stefan_KB,"(play, strum)"
1497,anthropic/claude-haiku-4.5,1,A man is strumming a guitar,A man is playing guitar,,"isa_wn(strum, play)","isa_wn(strum, play)","isa_wn(strum, play)","isa_wn(strum, play)","isa_wn(strum, play)",Stefan_KB,"(strum, play)"
1584,anthropic/claude-haiku-4.5,1,A hole is being burrowed by the badger,A badger is shrewdly digging the earth,,"isa_wn(burrow, dig); isa_wn(hole, earth)","isa_wn(burrow, dig); isa_wn(hole, earth)","isa_wn(burrow, dig); isa_wn(hole, earth)","isa_wn(burrow, dig); isa_wn(hole, earth)","isa_wn(burrow, dig); isa_wn(hole, earth)",Ettore_KB,"(burrow, dig); (hole, earth)"
158827073.jpg#2r1e,anthropic/claude-haiku-4.5,1,Young girl playing with chocolate milk powder.,There is a girl playing with food,,"isa_wn(chocolate milk powder, food)","isa_wn(chocolate milk powder, food)","isa_wn(chocolate milk powder, food)","isa_wn(chocolate milk powder, food)","isa_wn(chocolate milk powder, food)",Lasha_KB,"(chocolate milk powder, food)"
1792,anthropic/claude-haiku-4.5,1,A lion is slowly walking,A lion is slowly moving around,,"isa_wn(walk, move around)","isa_wn(walk, move around)","isa_wn(walk, move around)","isa_wn(walk, move around)","isa_wn(walk, move around)",Stefan_KB,"(walk, move around)"
1796608106.jpg#4r1e,anthropic/claude-haiku-4.5,1,A woman building herself a sand castle.,a women is making a sand castle,,"isa_wn(build, make)","isa_wn(build, make)","isa_wn(build, make)","isa_wn(build, make)","isa_wn(build, make)",Lasha_KB,"(build, make)"
2021602343.jpg#2r1e,anthropic/claude-haiku-4.5,1,A boy with a basketballs glowers at the camera.,The boy scowls,,"isa_wn(glower, scowl)","isa_wn(glower, scowl)","isa_wn(glower, scowl)","isa_wn(glower, scowl)","isa_wn(glower, scowl)",Lasha_KB,"(glower, scowl)"
207584893.jpg#3r1e,anthropic/claude-haiku-4.5,1,Hang glider on beach,air sport on beach,,"isa_wn(hang glider, air sport)","isa_wn(hang glider, air sport)","isa_wn(hang glider, air sport)","isa_wn(hang glider, air sport)","isa_wn(hang glider, air sport)",Stefan_KB,"(hang glider, air sport)"
2079152458.jpg#0r1e,anthropic/claude-haiku-4.5,1,"A golden-colored dog, with his eyes alert, holds a brightly colored tennis ball in his mouth.",The dog is light colored,,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,NO_RELATION,Stefan_KB,"(golden-colored, light colored)"
2095711097.jpg#1r1e,anthropic/claude-haiku-4.5,1,Construction masons at work laying concrete blocks on a multistory building.,Concrete work is being done on a multistory building,,"isa_wn(construction mason, concrete work); isa_wn(lay, do)","isa_wn(construction mason, concrete work); isa_wn(lay, do)","isa_wn(construction mason, concrete work); isa_wn(lay, do)","isa_wn(construction mason, concrete work); isa_wn(lay, do)","isa_wn(construction mason, concrete work); isa_wn(lay, do)",Stefan_KB,NO_RELATION
2109479807.jpg#0r1e,anthropic/claude-haiku-4.5,1,Four females wearing helments are riding on an ATV.,Four women are driving an all terrain vehicle.,,"isa_wn(female, woman); isa_wn(ride, drive); isa_wn(ATV, all terrain vehicle)","isa_wn(female, woman); isa_wn(ride, drive); isa_wn(ATV, all terrain vehicle)","isa_wn(female, woman); isa_wn(ride, drive); isa_wn(atv, all terrain vehicle)","isa_wn(female, woman); isa_wn(ride, drive); isa_wn(atv, all terrain vehicle)","isa_wn(female, woman); isa_wn(ride, drive); isa_wn(ATV, all terrain vehicle)",Lasha_KB,"(atv, all terrain vehicle); (female, woman); (ride, drive)"
211,anthropic/claude-haiku-4.5,1,Two dogs are playing by a tree,Two dogs are playing by a plant,,"isa_wn(tree, plant)","isa_wn(tree, plant)","isa_wn(tree, plant)","isa_wn(tree, plant)","isa_wn(tree, plant)",Stefan_KB,"(tree, plant)"
2137789511.jpg#1r1e,anthropic/claude-haiku-4.5,1,A person rides his bicycle in the sand beside the ocean.,A person is on a beach.,,"isa_wn(sand beside ocean, beach)","isa_wn(sand beside ocean, beach)","isa_wn(sand beside ocean, beach)","isa_wn(sand beside ocean, beach)","isa_wn(sand beside ocean, beach)",Stefan_KB,NO_RELATION
2195887578.jpg#2r1e,anthropic/claude-haiku-4.5,1,"Two men in suits standing in front of a bus, one is wearing a medal.",Two men are standing in front of a large vehicle.,,"isa_wn(bus, large vehicle)","isa_wn(bus, large vehicle)","isa_wn(bus, large vehicle)","isa_wn(bus, large vehicle)","isa_wn(bus, large vehicle)",Lasha_KB,"(bus, large vehicle)"
2201978994.jpg#1r1e,anthropic/claude-haiku-4.5,1,Two kids in winter clothing play near a lakefront.,kids playing near a lake,,"isa_wn(winter clothing, clothing); isa_wn(lakefront, lake)","isa_wn(winter clothing, clothing); isa_wn(lakefront, lake); isa_wn(winter clothe, clothe)","isa_wn(winter clothe, clothe); isa_wn(lakefront, lake)","isa_wn(winter clothing, clothing); isa_wn(lakefront, lake)","isa_wn(winter clothing, clothing); isa_wn(lakefront, lake)",Stefan_KB,"(lakefront, lake)"
2208055895.jpg#4r1e,anthropic/claude-haiku-4.5,1,Child inside of large snow fort.,A child within a snowy structure.,,"isa_wn(snow fort, snowy structure); isa_wn(inside, within)","isa_wn(snow fort, snowy structure); isa_wn(inside, within)","isa_wn(snow fort, snowy structure); isa_wn(inside, within)","isa_wn(snow fort, snowy structure); isa_wn(inside, within)","isa_wn(snow fort, snowy structure); isa_wn(inside, within)",Alternative_KB,"(snow fort, snowy structure); (inside, within)"
2217728745.jpg#4r1e,anthropic/claude-haiku-4.5,1,A man in a bar.,A guy in a bar.,,"isa_wn(man, guy)","isa_wn(man, guy)","isa_wn(man, guy)","isa_wn(man, guy)","isa_wn(man, guy)",Stefan_KB,"(man, guy)"
