model,repeat,arm,total_items,evaluated_items,error_runs,skipped_missing_prediction,skipped_no_reference,exact_best_matches,exact_best_match_rate,no_relation_best_matches,tp,fp,fn,precision,recall,micro_f1,position_sensitive_tp,position_sensitive_fp,position_sensitive_fn,position_sensitive_precision,position_sensitive_recall,position_sensitive_micro_f1
anthropic/claude-haiku-4.5,1,baseline,362,362,0,0,0,207,0.5718232044198895,57,278,170,62,0.6205357142857143,0.8176470588235294,0.7055837563451777,217,236,117,0.47902869757174393,0.6497005988023952,0.5514612452350699
anthropic/claude-haiku-4.5,1,additive_verbs,362,362,0,0,0,199,0.5497237569060773,57,282,226,60,0.5551181102362205,0.8245614035087719,0.6635294117647059,217,296,117,0.42300194931773877,0.6497005988023952,0.512396694214876
anthropic/claude-haiku-4.5,1,all_verbs,362,362,0,0,0,201,0.5552486187845304,57,268,180,75,0.5982142857142857,0.7813411078717201,0.6776232616940582,210,243,128,0.46357615894039733,0.621301775147929,0.5309734513274337
anthropic/claude-haiku-4.5,1,context_pos,362,362,0,0,0,205,0.5662983425414365,57,274,174,68,0.6116071428571429,0.8011695906432749,0.6936708860759494,214,239,124,0.47240618101545256,0.6331360946745562,0.5410872313527181
anthropic/claude-haiku-4.5,1,additive_pos,362,362,0,0,0,202,0.5580110497237569,57,283,200,59,0.5859213250517599,0.827485380116959,0.686060606060606,217,271,117,0.444672131147541,0.6497005988023952,0.5279805352798054
anthropic/claude-haiku-4.5,2,baseline,362,362,0,0,0,207,0.5718232044198895,57,278,170,62,0.6205357142857143,0.8176470588235294,0.7055837563451777,217,236,117,0.47902869757174393,0.6497005988023952,0.5514612452350699
anthropic/claude-haiku-4.5,2,additive_verbs,362,362,0,0,0,199,0.5497237569060773,57,282,226,60,0.5551181102362205,0.8245614035087719,0.6635294117647059,217,296,117,0.42300194931773877,0.6497005988023952,0.512396694214876
anthropic/claude-haiku-4.5,2,all_verbs,362,362,0,0,0,201,0.5552486187845304,57,268,180,75,0.5982142857142857,0.7813411078717201,0.6776232616940582,210,243,128,0.46357615894039733,0.621301775147929,0.5309734513274337
anthropic/claude-haiku-4.5,2,context_pos,362,362,0,0,0,205,0.5662983425414365,57,274,174,68,0.6116071428571429,0.8011695906432749,0.6936708860759494,214,239,124,0.47240618101545256,0.6331360946745562,0.5410872313527181
anthropic/claude-haiku-4.5,2,additive_pos,362,362,0,0,0,202,0.5580110497237569,57,283,200,59,0.5859213250517599,0.827485380116959,0.686060606060606,217,271,117,0.444672131147541,0.6497005988023952,0.5279805352798054
anthropic/claude-haiku-4.5,3,baseline,362,362,0,0,0,207,0.5718232044198895,57,278,170,62,0.6205357142857143,0.8176470588235294,0.7055837563451777,217,236,117,0.47902869757174393,0.6497005988023952,0.5514612452350699
anthropic/claude-haiku-4.5,3,additive_verbs,362,362,0,0,0,199,0.5497237569060773,57,282,226,60,0.5551181102362205,0.8245614035087719,0.6635294117647059,217,296,117,0.42300194931773877,0.6497005988023952,0.512396694214876
anthropic/claude-haiku-4.5,3,all_verbs,362,362,0,0,0,201,0.5552486187845304,57,268,180,75,0.5982142857142857,0.7813411078717201,0.6776232616940582,210,243,128,0.46357615894039733,0.621301775147929,0.5309734513274337
anthropic/claude-haiku-4.5,3,context_pos,362,362,0,0,0,205,0.5662983425414365,57,274,174,68,0.6116071428571429,0.8011695906432749,0.6936708860759494,214,239,124,0.47240618101545256,0.6331360946745562,0.5410872313527181
anthropic/claude-haiku-4.5,3,additive_pos,362,362,0,0,0,202,0.5580110497237569,57,283,200,59,0.5859213250517599,0.827485380116959,0.686060606060606,217,271,117,0.444672131147541,0.6497005988023952,0.5279805352798054
anthropic/claude-haiku-4.5,4,baseline,362,362,0,0,0,207,0.5718232044198895,57,278,170,62,0.6205357142857143,0.8176470588235294,0.7055837563451777,217,236,117,0.47902869757174393,0.6497005988023952,0.5514612452350699
